a	에이
aquatint	애쿼틴트
aque	아쿠아
Aquilla	아퀼라
Aquinnah	아퀴나
Arab Emirates	아랍에미리트
Arabi	아라비
Arabia	아라비아
Arabian Night	아라비안나이트
Aragon	아라곤
Aransas County	애런사스 카운티
Arapahoe	아라파호
Arapahoe County	아라파호 카운티
Ararat	아라랏
Arboga	아보가
Arbor Vitae	아보 비태
Arborvale	아보베일
Arbuckle	아버클
Arcade	아케이드
Arcadia	아카디아
Arcata	아르카타
arch	아치
Archdale	아치데일
Archer	아처
Archer County	아처 카운티
Archey Valley	아치 밸리
Archie	아치
architecture	아키텍처
archive	아카이브
Archuleta County	아츌레타 카운티
Arco	아코
Arcola	아콜라
Arcturus	악튜러스
Ardell	아르델
Arden	아든
Arden Hills	아덴 힐스
Ardmore	아드모어
Arduino	아두이노
Aredale	에어데일
Arena	아레나
Arenac County	아레낙 카운티
Argo	아르고
argon	아르곤
Argonia	아고니아
Argonne	아르곤
Argos	아르고스
Argyle	아가일
Ari	아리
aria	아리아
Ariel	아리엘
Arietta	아리에타
Arimo	아리모
Aripeka	애리퍼카
Ariton	에리톤
Arivaca	아리바카
Arizona	애리조나
Arizona City	애리조나시티
Arkansas	아칸소
Arkansas City	아칸소시티
Arkansas County	아칸소 카운티
Arkansaw	아칸소
Arkdale	아크데일
Arkhangelsk	아르항겔스크
Arkoma	아코마
Arland	알랜드
Arley	알리
Arlington	알링턴
Arma	아르마
armadillo	아르마딜로
Armel	아르멜
Armenia	아르메니아
Armidale	아미데일
Armilda	아밀다
Armour	아무르
Armstrong	암스트롱
Armstrong County	암스트롱 카운티
Arnegard	안가드
Arnett	아네트
Arnhem Land	아넘랜드
Arnold	아놀드
Arnott	아노트
Arock	에이록
Aroostook County	아루스투크 카운티
Arp	아프
Arpin	아핀
Arrey	애리
Arriba	아리바
Arrington	애링턴
arrive	어라이브
Arrowhead District	애로우헤드 디스트릭트
Arroyo Grande	아로요 그란데
Arroyo Seco	아로요 세코
art	아트
Art	아트
art director	아트디렉터
Artesia	아르테시아
Artesian	르테시안
Arthur	아서
Arthur County	아서 카운티
Arthurdale	아서데일
Artie	아티
Artify	아티파이
Artillery Ridge	아틸러리 리지
artist	아티스트
Aruba	아루바
Arundel	애런델
Arvada	알바다
Arvida	아바이다
Arvin	아빈
Arvonia	아보니아
Asa	애사
Asahikawa	아사히카와
Asbury	애즈베리
Asbury Park	애스버리 파크
Ascension Parish Country	어센션 패리시
ASCII	아스키
Asco	애스코
ase	아스펜
ASEM	아셈
Ash	애쉬
Ash Creek	애쉬 크리크
Ash Grove	애쉬 그로브
Ash Hill	애쉬 힐
Ashburn	애슈번
Ashburnham	애시번햄
Ashburton	애슈버턴
Ashby	애시비
Ashdown	애시다운
Ashe County	애시 카운티
Asheboro	애쉬버러
Asher	애셔
Asheville	애슈빌
Ashfield	애시필드
Ashford	애쉬포드
Ashgabat	아슈하바드
Ashland	애슐랜드
Ashland County	애슐랜드 카운티
Ashley	애슐리
Ashley County	애슐리 카운티
Ashley Olsen	애슐리 올슨
Ashtabula	애슈터뷸라
Ashtabula County	애슈터불라 카운티
Ashton	애시턴
Ashville	애슈빌
Ashwood	애쉬우드
Asmara	아스마라
Asotin County	아소틴 카운티
asparagus	아스파라거스
Aspen	아스펜
asphalt	아스팔트
Aspinwall	아스핀월
Aspirin	아스피린
Assaria	아사리아
assembler	어셈블러
Assumption	어섬션
Assumption Parish County	어섬션 패리시
Astana	아스타나
astatine	아스타틴
Astatula	아스타툴라
Asti	애스티
Astoria	애스토리아
Astrakhan	아스트라한
Asuncion	아순시온
asus	에이수스
Atascadero	아타스카데로
Atascosa County	아타스코사 카운티
Atchison	애치슨
Atchison County	애치슨 카운티
Atco	앳코
Athelstan	애설스탠
Athena	아테나
Athens	애선스
Athens County	애선스 카운티
Athens-Clarke County	애선스-클라크 카운티
Atherton	애서턴
Athlon	애슬론
Athol	애솔
Atkins	앳킨스
Atkinson	앳킨슨
Atkinson County	앳킨슨 카운티
Atlanta	애틀랜타
Atlantic	애틀란틱
Atlantic Beach	애틀란틱 비치
Atlantic City	애틀랜틱시티
Atlantic County	애틀랜틱 카운티
Atlantis	아틀란티스
Atlas	애틀라스
Atlee	애틀리
Atmore	애트모어
Atoka County	애토카 카운티
atom	애톰
Atomic City	아토믹 시티
attachment	어태치먼트
Attala County	아탈라 카운티
Attalla	아탈라
Attica	애티카
Attleboro	애틀버로
Atwater	앳워터
Atwell	애트웰
Atwood	앳우드
Au Sable	오 사블
Au Train	오 트레인
Aubrey	오브리
Auburn	오번
Auburn Hills	오번 힐스
Auburndale	오번데일
Aucilla	오실라
Auckland	오클랜드
auction	옥션
Auction	옥션
audio	오디오
audio video interleaving	오디오비디오인터리빙
audiotex	오디오텍스
audiovisual	오디오비주얼
audiphone	오디폰
audition	오디션
Audra	오드라
Audrain County	오드레인 카운티
Audubon	오듀본
Audubon County	오듀본 카운티
Audubon Park	오듀본 파크
Auglaize County	오글레이즈 카운티
Augsburg	옥스버그
Augusta	어거스타
Augusta County	오거스타 카운티
Augustin	아우구스틴
Aulander	오랜더
Aulne	올른
Ault	올트
aunt	안트
Aura	오라
Aurangabad	아우랑가바드
Aurantia	오란시아
Aurelia	오릴리아
Aurelian Springs	올리언 스프링스
aurora	오로라
Aurora	오로라
Aurora County	오로라 카운티
Austa	오스타
Austell	오스텔
Austerlitz	오스터리츠
Austin	오스틴
Austin County	오스틴 카운티
Austinville	오스틴빌
Australia	오스트레일리아
Austria	오스트리아
Autauga County	오토가 카운티
authoring tool	오소링툴
authority	오소리티
auto	오토
AutoCAD	오토 캐드
automat	오토멧
automatic	오토매틱
automation	오토메이션
Autryville	오트리빌
autumn	오템
Auvil	오빌
Ava	에이바
Avalon	아발론
Avalon Park	애벌론파크
Avant	아반트
Avard	애바드
Avatar	아바타
Ave Maria	아베 마리아
Avenal	아베날
Aventura	아벤투라
Avenue	애비뉴
Avenue Q	애비뉴 큐
Avera	어베라
Averill	애버릴
Avery	에이버리
Avery County	에이버리 카운티
Avila Beach	아빌라 비치
Avilla	아빌라
Avoca	아보카
avocado	아보카도
Avon	에이번
Avon Lake	에이번 레이크
Avon Park	에이번 파크
Avon Park Lakes	에이번 파크 레이크스
Avondale	애번데일
Avoyelles Parish County	어보이엘르 패리시
Axis	엑시스
Axtell	액스텔
Axton	액스턴
Ayden	에이든
Ayer	아이어
Ayrshire	에어셔
Azalia	아잘리아
Azerbaijan	아제르바이잔
Aztec	아즈텍
Azusa	아주사
Azwell	아즈웰
b	비
Babb	밥
Babbie	배비
Babbitt	배비트
Babcock	배브콕
Baber	바버
baby	베이비
Baby Island Heights	베이비 아일랜드 하이츠
Babylon	바빌론
babysitter	베이비시터
Baca County	바카 카운티
Bache	배시
Bachelor Flat	베첼러 플랫
back	백
back mirror	백미러
backbone	백본
backbone LAN	백본랜
Backoo	백쿠
backup	백업
backup file	백업파일
Backus	배커스
bacon	베이컨
Bacon County	베이컨 카운티
Bacova	바코바
bacteria	박테리아
bad	배드
Bad Axe	배드 액스
Bader	베이더
badge	배지
Badger	배저
Badlands	배들랜즈
badminton	배드민턴
bag	백
Bagdad	바그다드
Baghdad	바그다드
Bagley	베이글리
Bahama	버하마
Bahamas	바하마
Bahia	바히아
Bahrain	바레인
Bailey	베일리
Bailey County	베일리 카운티
Baileys Harbor	베일리스 하버
Bainbridge	베인브리지
Bainbridge Island	베인브릿지 아일랜드
Bains	베인스
Baird	베어드
Bairnsdale	베언즈데일
Bairoil	베어오일
Baker	베이커
Baker City	베이커 시티
Baker County	베이커 카운티
Baker Heights	베이커 하이츠
Bakersfield	베이커즈필드
Bakersville	베이커스빌
Bakerville	베이커빌
bakery	베이커리
baking powder	베이킹 파우더
BAKU	바쿠
balance	밸런스
Balaton	밸러턴
Balclutha	밸클러서
Balcom	발콤
balcony	발코니
Bald Point	볼드 포인트
baldur's gate	발더스게이트
Baldur's Gate	발더스게이트
Baldwin	볼드윈
Baldwin County	볼드윈 카운티
Baldwin Park	볼드윈파크
Baldwin Street	볼드윈스트리트
Balfour	밸푸어
Bali	발리
Balikpapan	발릭파판
Balko	발코
ball	볼
ball mouse	볼마우스
ballad	발라드
ballade	발라드
Ballarat	밸러랫
Ballard	볼라드
Ballard County	밸러드 카운티
Ballardsville	발라즈빌
Ballengee	볼렌지
Ballentine	밸런타인
ballerina	발레리나
Ballico	볼리코
Ballinger	볼린저
Ballston Spa	볼스턴 스파
Ballwin	볼윈
Balm	밤
Balta	볼타
Baltic	발틱
Baltimore	볼티모어
Baltimore Corner	발티모어 코너
Baltimore County	볼티모어 카운티
Bamako	바마코
Bamberg	밤베르그
Bamberg County	밤베르그 카운티
banana	바나나
Bancroft	밴크로프트
band	밴드
Banda Aceh	반다아체
Bandana	밴다나
Bandar Lampung	반다르람풍
Bandar Seri Begawan	반다르 세리 베가완
Bandera County	반데라 카운티
Bandon	밴던
Bandung	반둥
Baneberry	베인베리
Bangalore	방갈로
Bangkok	방콕
Bangladesh	방글라데시
Bangor	뱅거
Bangs	뱅스
BANJARMASIN	반자르마신
bank	뱅크
banker	뱅커
Banks	뱅크스
Banks County	뱅크스 카운티
banner	배너
Banner	배너
Banner County	배너 카운티
Banner Elk	배너 엘크
Banning	배닝
Bannock County	배넉 카운티
Banta	반타
Bantry	밴트리
BAOTOU	바오터우
Baptist	뱁티스트
bar	바
bar code	바코드
Bar Harbor	바 하버
Bar Nunn	바 넌
barack obama	버락 오바마
Baraga County	바라가 카운티
barbecue	바비큐
Barbecue	바비큐
barbell	바벨
Barber County	바버 카운티
Barber Quarters	바버쿼터스
barbercue	바베큐
Barbour County	바버 카운티
Barboursville	바버스빌
Barcelona	바르셀로나
Barclay	바클레이
Barco	바코
Bardin	바딘
Bardley	바들리
Bardsdale	바즈데일
Bardstown	바즈타운
Barefield Crossroads	베어필드 크로스로드
Barefoot Bay	베어풋 베이
bargain sale	바겐세일
barge	바지
Bari	바리
Baring	베어링
baritone	바리톤
barium	바륨
Bark River	바크 리버
Barker	바커
Barksdale	박스데일
Barling	발링
Barlow	바로우
Barnabus	바나버스
Barnard	버나드
Barnes	반스
Barnes County	반스 카운티
Barnesville	반즈빌
Barnet	바넷
Barnett	바넷
Barney	바니
Barney Hill	바니 힐
Barnhart	반하트
Barnstable	반스터블
Barnstable County	반스터블 카운티
Barnstead	반스테드
Barnum	바넘
Barnwell County	반웰 카운티
barometer	바로미터
Baron	베이런
Barrackville	배럭빌
Barre	바
barrel	배럴
Barren County	배런 카운티
Barrett	바렛
barricade	바리케이트
Barrie	베리
Barrineau Park	배리뉴 공원
Barrington	배링턴
Barron	배런
Barron County	배런 카운티
Barrow	배로우
Barrow County	배로 카운티
Barry	배리
Barry County	배리 카운티
Barstow	바스토우
bartender	바텐더
Bartholomew County	바솔로뮤 카운티
Bartle	바틀
Bartlesville	바틀즈빌
Bartlett	바틀렛
Bartley	바틀리
Barton	바턴
Barton County	바턴 카운티
Bartow	바토
Bartow County	바토 카운티
Barview	바뷰
Basalt	배솔트
Basco	배스코
Bascom	베스컴
base camp	베이스캠프
baseball	베이스볼
Basehor	바시어
Basel	바젤
Bashaw	바쇼
basic	베이직
BASIC	베이식
Basile	바슬
Basinger	베이싱어
Baskerville	베스커빌
basket	바스켓
basket ball	바스켓볼
Baskin robbins	배스킨라빈스
Basra	바스라
bass	배스
Bass	배스
Bass Lake	배스 레이크
Bassett	바셋
Bassfield	배스필드
Basswood Estates	배스우드에스테이츠
Bastia	바스티아
Bastrop	배스트롭
Bastrop County	배스트롭 카운티
bat	배트
Bat Cave	뱃 케이브
Batam	바탐
Batavia	바타비아
Batavia Township	바타비아 타운쉽
Batchelor	배철러
Bateman	베이트먼
Bates	베이츠
Bates County	베이츠 카운티
Batesville	베이츠빌
Bath	배스
Bath Alum	배스 알룸
Bath County	배스 카운티
bathe	베이드
Bathurst	배서스트
batman	배트맨
BATNA	바트나
baton	바통
Baton Rouge	배턴루지
Batoo	바투
battalion	버탤리언
battery	배터리
Battle Creek	배틀크리크
Battle Ground	배틀 그라운드
Battle Mountain	배틀 마운틴
Battlefield	배틀필드
Battleford	배틀퍼드
Battleground	베틀그라운드
Batumi	바투미
Baud	보드
Baudette	보데트
Baum	바움
Baumberg	봄버그
Bauxite	보크사이트
Bavaria	바바리아
Baxley	백슬리
Baxter	백스터
Baxter County	백스터 카운티
Baxter Springs	백스터 스프링스
Bay	베이
Bay City	베이시티
Bay County	베이 카운티
Bay Harbor Islands	베이 하버 아일랜즈
Bay Lake	베이레이크
Bay Minette	베이 미네트
Bay of Plenty	베이오브플렌티
Bay Point	베이포인트
Bay Saint Louis	베이 세인트 루이스
Bay Shore	베이 쇼어
Bay Village	베이 빌리지
Bayard	바야드
Bayfield	베이필드
Bayfield County	베이필드 카운티
Bayle	베일
Baylor County	베일러 카운티
Bayonne	베이온
Bayou Chicot	베이유 치코트
Bayou George	베이유 조지
Bayou la Batre	바유라바트레
Bayou La Batre	바유라바트레
Bayport	베이포트
Bayside	베이사이드
Baytown	베이타운
Bayview	베이뷰
Baywood	베이우드
bazaar	바자
Bazaar	바자
Bazemore	베이즈모어
Bazine	바진
BBC	비비시
beach	비치
Beach	비치 마운틴
beach parasol	비치 파라솔
beach volleyball	비치발리볼
Beachwood	비치우드
Beacon	비콘
Beacon Falls	비콘 폴스
Beaconsfield	비콘스필드
Beadle County	비들 카운티
beaker	비커
Beallsville	빌스빌
Beals	빌스
Beaman	비먼
Beamon	비몬
Beamsville	빔스빌
Bear Creek	베어크리크
Bear Grass	베어 그래스
Bear Lake	베어 레이크
Bear Lake County	베어 레이크 카운티
Bear River	베어 리버
Bear River City	베어 리버 시티
Bear Valley	베어 밸리
Bearcreek	베어크리크
Beard	비어드
Bearden	비어든
Beardsley	비어즐리
Beardstown	비어즈타운
bearing	베어링
Beartown	베어타운
Beasley	비슬리
Beason	비슨
Beatrice	베아트리체
Beattie	비티
Beatty	비티
Beaty	비티
Beaufort	보퍼트
Beaufort County	보퍼트 카운티
Beaumont	보몬트
Beauregard	보르가드
Beauregard Parish County	뷰리가드 패리시
beauty	뷰티
Beauty	뷰티
Beaux Arts Village	보 아츠 빌리지
beaver	비버
Beaver	비버
Beaver City	비버 시티
Beaver County	비버 카운티
Beaver Creek	비버 크리크
Beaver Dam	비버 댐
Beavercreek	비버크리크
Beaverdam	비버댐
Beaverhead County	비버헤드 카운티
Beaverton	비버턴
Bebe	베베
Bebee	비비
Beck	벡
Becker	베커
Becker County	베커 카운티
Becket	베킷
Beckham County	베컴 카운티
Beckley	베클리
Beckwith	벡위스
bed scene	베드신
Beda	베다
Beddington	베딩턴
Bedford	베드퍼드
Bedford County	베드퍼드 카운티
Bedford Heights	베드포드 하이츠
Bedrock	베드록
Bee	비
Bee Branch	비 브랜치
Bee County	비 카운티
Bee Ridge	비 리지
Beebe	비브
Beech Grove	비치 그로브
Beech Island	비치 아일랜드
Beech Mountain	비치 마운틴
Beecher	비처
Beechville	비치빌
Beechwood	비치우드
Beechwood Village	비치우드 빌리지
Beekmantown	비크먼타운
Beeler	빌러
beer	비루
beer game	비어게임
beer stand	비어스탠드
Beetles	비틀즈
before	비포
Beggs	벡스
begin	비긴
begin again	비긴 어게인
behind	비하인드
beige	베이지
Beijing	베이징
Beira	베이라
Beirut	베이루트
Bel Air	벨 에어
