gahnite	가나이트	kanaitʰɯ
galanthamine	갈란타민	kallantʰamin
Galanthus	갈란투스	kallantʰusɯ
Galland	갈랑	kallaŋ
Garland	갈랜드	kallɛndɯ
Galle	갈레	kalle
Galenos	갈레노스	kallenosɯ
Galois	갈루아	kallua
gallium	갈륨	kalljum
Gallimard	갈리마르	kallimalɯ
garlic	갈릭	kallik
galvanometer	갈바노미터	kalbanomitʰʌ
Galvani	갈바니	kalbani
galtonia	갈토니아	kaltʰonia
ganglioside	강글리오시드	kaŋgɯlliosidɯ
Gambetta	강베타	kaŋbetʰa
Gance	강스	kaŋs͈ɯ
Abel	아벨	abel
gag	개그	kɛgɯ
gagman	개그맨	kɛgɯmɛn
ganophyllite	개노필라이트	kɛnopʰillaitʰɯ
gather	개더	kɛdʌ
guarantee	개런티	kɛlʌntʰi
Garrison	개리슨	kɛlisɯn
Garrick	개릭	kɛlik
gaberdine	개버딘	kɛbʌdin
Gasser	개서	kɛsʌ
Gaskell	개스켈	kɛsɯkʰel
gasket	개스킷	kɛsɯkʰit
Gantt	갠트	kɛntʰɯ
gantry	갠트리	kɛntʰɯli
gallery	갤러리	kɛllʌli
gallon	갤런	kɛllʌn
galantine	갤런틴	kɛllʌntʰin
gallop	갤럽	kɛllʌp
galop	갤럽	kɛllʌp
Gallup	갤럽	kɛllʌp
galley	갤리	kɛlli
galliard	갤리어드	kɛlliʌdɯ
gap	갭	kɛp
gang	갱	kɛŋ
girdle	거들	kʌdɯl
governor	거버너	kʌbʌnʌ
gerbera	거베라	kʌbela
gusset	거싯	kʌsit
gauze	거즈	kʌd͡ɕɯ
gutter	거터	kʌtʰʌ
guppy	거피	kʌpʰi
Gunther	건서	kʌns͈ʌ
Gunter	건터	kʌntʰʌ
Ge	게	ke
Gaede	게데	kede
Guesde	게드	kedɯ
Gerasimov	게라시모프	kelasimopʰɯ
gerenuk	게레눅	kelenuk
Guernica	게르니카	kelɯnikʰa
germane	게르만	kelɯman
Gervinus	게르비누스	kelɯbinusɯ
Gertsen	게르첸	kelɯt͡ɕʰen
Gerhardt	게르하르트	kelɯhalɯtʰɯ
Gerlach	게를라흐	kelɯllahɯ
gerrymandering	게리맨더링	kelimɛndʌliŋ
Guericke	게리케	kelikʰe
Gev	게브	kebɯ
Geb	게브	kebɯ
Gesner	게스너	kesɯnʌ
guest	게스트	kesɯtʰɯ
George	조지	t͡ɕod͡ɕi
Gheorghe	게오르게	keolɯge
Georg	게오르크	keolɯkʰɯ
Gay	게이	kei
gay	게이	kei
Gable	게이블	keibɯl
gable	게이블	keibɯl
Geisericus	게이세리쿠스	keiselikʰusɯ
gauge	게이지	keid͡ɕi
gauging	게이징	keid͡ɕiŋ
gate	게이트	keitʰɯ
Gainsborough	게인즈버러	keind͡ɕɯbʌlʌ
Thomas	토머스	tʰomʌsɯ
Gale	게일	keil
Gesell	게젤	ked͡ɕel
Guettard	게타르	ketʰalɯ
getter	게터	ketʰʌ
ghetto	게토	ketʰo
Gettysburg	게티즈버그	ketʰid͡ɕɯbʌgɯ
gentamycin	겐타마이신	kentʰamaisin
Gentiana	겐티아나	kentʰiana
Gellius	겔리우스	kelliusɯ
Gogarten	고가르텐	kogalɯtʰen
Gauguin	고갱	kogɛŋ
goggles	고글	kogɯl
gonadotropin	고나도트로핀	konadotʰɯlopʰin
goniometer	고니오미터	koniomitʰʌ
goniophotometer	고니오포토미터	koniopʰotʰomitʰʌ
Godiva	고다이바	kodaiba
Goddard	고더드	kodʌdɯ
Godwin	고드윈	kodɯwin
Gordon	고든	kodɯn
Gothic	고딕	kodik
Gorgias	고르기아스	kolɯgiasɯ
Gorchakov	고르차코프	kolɯt͡ɕʰakʰopʰɯ
gorilla	고릴라	kolilla
Gaumont	고몽	komoŋ
Gobat	고바	koba
Gobineau	고비노	kobino
Goethals	고설스	kosʌls͈ɯ
Gossen	고센	kosen
Gosset	고셋	koset
Gosse	고스	kosɯ
ghost	고스트	kosɯtʰɯ
Ghosh	고시	kosi
Gore	고어	koʌ
Goretex	고어텍스	koʌtʰeks͈ɯ
Gozzoli	고촐리	kot͡ɕʰolli
Gozzi	고치	kot͡ɕʰi
Gokhale	고칼레	kokʰalle
Gottwald	고트발트	kotʰɯbaltʰɯ
Gottsched	고트셰트	kotʰɯsjetʰɯ
Gotthelf	고트헬프	kotʰɯhelpʰɯ
Gautier	고티에	kotʰie
Goffman	고프먼	kopʰɯmʌn
Gog	곡	kok
Goncharov	곤차로프	kont͡ɕʰalopʰɯ
goal	골	kol
Goldoni	골도니	koldoni
Gold	골드	koldɯ
Golding	골딩	koldiŋ
Gaullism	골리즘	kollid͡ɕɯm
Goulburn	골번	kolbʌn
Galway	골웨이	kolwei
Galsworthy	골즈워디	kold͡ɕɯwʌdi
Golgi	골지	kold͡ɕi
goalkeeper	골키퍼	kolkʰipʰʌ
Galton	골턴	koltʰʌn
Goldschmidt	골트슈미트	koltʰɯsjumitʰɯ
Goldstein	골트슈타인	koltʰɯsjutʰain
golf	골프	kolpʰɯ
Gombrowicz	곰브로비치	kombɯlobit͡ɕʰi
Gompers	곰퍼스	kompʰʌsɯ
gong	공	koŋ
Goncourt	공쿠르	koŋkʰulɯ
guarana	과라나	kwalana
Guarnieri	과르니에리	kwalɯnieli
Guardi	과르디	kwalɯdi
Guarini	과리니	kwalini
Guarino	과리노	kwalino
guayule	과율	kwajul
guaiacol	과이어콜	kwaiʌkʰol
Guam	괌	kwam
Gounod	구노	kuno
Gudea	구데아	kudea
gourami	구라미	kulami
Gourmont	구르몽	kulɯmoŋ
gooseberry	구스베리	kusɯbeli
guanethidine	구아네티딘	kuanetʰidin
guano	구아노	kuano
guanosine	구아노신	kuanosin
guanidine	구아니딘	kuanidin
guanine	구아닌	kuanin
guava	구아버	kuabʌ
Goujon	구종	kud͡ɕoŋ
Gooch	구치	kut͡ɕʰi
gutta	구타	kutʰa
Gundolf	군돌프	kundolpʰɯ
Gullstrand	굴스트란드	kuls͈ɯtʰɯlandɯ
Gupta	굽타	kuptʰa
Goodman	굿맨	kunmɛn
Goodyear	굿이어	kusiʌ
Guyenne	귀엔	kwien
Guyau	귀요	kwijo
Gneist	그나이스트	kɯnaisɯtʰɯ
Gneisenau	그나이제나우	kɯnaid͡ɕenau
gnetum	그네툼	kɯnetʰum
grana	그라나	kɯlana
Granados	그라나도스	kɯlanadosɯ
Granet	그라네	kɯlane
gramicidin	그라미시딘	kɯlamisidin
Grabbe	그라베	kɯlabe
gravure	그라비어	kɯlabiʌ
Grace	그라스	kɯlasɯ
Grassmann	그라스만	kɯlasɯman
grout	그라우트	kɯlautʰɯ
grouting	그라우팅	kɯlautʰiŋ
ground	그라운드	kɯlaundɯ
grounding	그라운딩	kɯlaundiŋ
Grein	그라인	kɯlain
grinder	그라인더	kɯlaindʌ
grinding	그라인딩	kɯlaindiŋ
Gracchus	그라쿠스	kɯlakʰusɯ
Gratiae	그라티아이	kɯlatʰiai
Grabmann	그라프만	kɯlapʰɯman
Gram	그람	kɯlam
Gramsci	그람시	kɯlams͈i
granolith	그래놀리스	kɯlɛnollisɯ
granolithic	그래놀리식	kɯlɛnollisik
graphoscope	그래포스코프	kɯlɛpʰosɯkʰopʰɯ
graph	그래프	kɯlɛpʰɯ
graphic	그래픽	kɯlɛpʰik
grand	그랜드	kɯlɛndɯ
grandstand	그랜드스탠드	kɯlɛndɯsɯtʰɛndɯ
Grant	그랜트	kɯlɛntʰɯ
gram	그램	kɯlɛm
gradation	그러데이션	kɯlʌdeisjʌn
Gregory	그레고리	kɯlegoli
Graebe	그레베	kɯlebe
Gresham	그레셤	kɯlesjʌm
Grey	그레이	kɯlei
gray	그레이	kɯlei
grader	그레이더	kɯleidʌ
grade	그레이드	kɯleidɯ
grading	그레이딩	kɯleidiŋ
graver	그레이버	kɯleibʌ
gravy	그레이비	kɯleibi
Grahame	그레이엄	kɯleiʌm
Graham	그레이엄	kɯleiʌm
grapefruit	그레이프프루트	kɯleipʰɯpʰɯlutʰɯ
greyhound	그레이하운드	kɯleihaundɯ
grain	그레인	kɯlein
Grekov	그레코프	kɯlekʰopʰɯ
Grenville	그렌빌	kɯlenbil
Grenfell	그렌펠	kɯlenpʰel
Gros	그로	kɯlo
groggy	그로기	kɯlogi
Gromaire	그로메르	kɯlomelɯ
Gromyko	그로미코	kɯlomikʰo
Grosse	그로세	kɯlose
groschen	그로셴	kɯlosjen
gross	그로스	kɯlosɯ
Grossetest	그로스테스트	kɯlosɯtʰesɯtʰɯ
Grotewohl	그로테볼	kɯlotʰebol
Grotefend	그로테펜트	kɯlotʰepʰentʰɯ
Grote	그로트	kɯlotʰɯ
Gropius	그로피우스	kɯlopʰiusɯ
Walter	월터	wʌltʰʌ
GRU	그루	kɯlu
Grew	그루	kɯlu
groopie	그루피	kɯlupʰi
Grundtvig	그룬트비	kɯluntʰɯbi
group	그룹	kɯlup
groupware	그룹웨어	kɯlubweʌ
Grumiaux	그뤼미오	kɯlwimio
Grieg	그리그	kɯligɯ
Grignard	그리냐르	kɯlinjalɯ
Greenock	그리녹	kɯlinok
Greenwich	그리니치	kɯlinit͡ɕʰi
grid	그리드	kɯlidɯ
Greed	그리드	kɯlidɯ
Grimmelshausen	그리멜스하우젠	kɯlimels͈ɯhaud͡ɕen
Griboedov	그리보예도프	kɯlibojedopʰɯ
griseofulvin	그리세오풀빈	kɯliseopʰulbin
Gris	그리스	kɯlisɯ
grease	그리스	kɯlisɯ
grizzly	그리즐리	kɯlid͡ɕɯlli
Grisi	그리지	kɯlid͡ɕi
griffithite	그리피사이트	kɯlipʰisaitʰɯ
Griffis	그리피스	kɯlipʰisɯ
Griffith	그리피스	kɯlipʰisɯ
Gryphius	그리피우스	kɯlipʰiusɯ
griffin	그리핀	kɯlipʰin
Green	그린	kɯlin
Grin	그린	kɯlin
green	그린	kɯlin
Greene	그린	kɯlin
greenbelt	그린벨트	kɯlinbeltʰɯ
Greenville	그린빌	kɯlinbil
Greensboro	그린즈버러	kɯlind͡ɕɯbʌlʌ
grill	그릴	kɯlil
Greely	그릴리	kɯlilli
Grillparzer	그릴파르처	kɯlilpʰalɯt͡ɕʰʌ
Grimm	그림	kɯlim
grip	그립	kɯlip
grit	그릿	kɯlit
gladiolus	글라디올러스	kɯlladiollʌsɯ
glass	글라스	kɯllasɯ
glider	글라이더	kɯllaidʌ
glide	글라이드	kɯllaidɯ
gliding	글라이딩	kɯllaidiŋ
Gleim	글라임	kɯllaim
Gladkov	글랏코프	kɯllatkʰopʰɯ
Gladstone	글래드스톤	kɯllɛdɯsɯtʰon
gladstone	글래드스턴	kɯllɛdɯsɯtʰʌn
Glasgow	글래스고	kɯllɛsɯgo
Glaspell	글래스펠	kɯllɛsɯpʰel
glove	글러브	kɯllʌbɯ
glare	글레어	kɯlleʌ
glaze	글레이즈	kɯlleid͡ɕɯ
Gleizes	글레이즈	kɯlleid͡ɕɯ
glazing	글레이징	kɯlleid͡ɕiŋ
glow	글로	kɯllo
glory	글로리	kɯlloli
Gloria	글로리아	kɯllolia
gloria	글로리아	kɯllolia
gloriosa	글로리오사	kɯlloliosa
globalism	글로벌리즘	kɯllobʌllid͡ɕɯm
globulin	글로불린	kɯllobullin
globe	글로브	kɯllobɯ
globigerina	글로비게리나	kɯllobigelina
globin	글로빈	kɯllobin
Gloucester	글로스터	kɯllosɯtʰʌ
glossy	글로시	kɯllosi
gloxinia	글록시니아	kɯlloks͈inia
glucitol	글루시톨	kɯllusitʰol
gluon	글루온	kɯlluon
glucagon	글루카곤	kɯllukʰagon
glucosamine	글루코사민	kɯllukʰosamin
glucoside	글루코시드	kɯllukʰosidɯ
glucose	글루코오스	kɯllukʰoosɯ
glucogenesis	글루코제네시스	kɯllukʰod͡ɕenesisɯ
glucocorticoid	글루코코르티코이드	kɯllukʰokʰolɯtʰikʰoidɯ
glucolipid	글루콜리피드	kɯllukʰollipʰidɯ
Gluck	글루크	kɯllukʰɯ
glutamine	글루타민	kɯllutʰamin
glutathione	글루타티온	kɯllutʰatʰion
glutenin	글루테닌	kɯllutʰenin
glutethimide	글루테티미드	kɯllutʰetʰimidɯ
gluten	글루텐	kɯllutʰen
glutelin	글루텔린	kɯllutʰellin
glee	글리	kɯlli
glibenclamide	글리벤클라마이드	kɯllibenkʰɯllamaidɯ
glycerol	글리세롤	kɯlliselol
glyceraldehyde	글리세르알데히드	kɯlliselɯaldehidɯ
glyceride	글리세리드	kɯlliselidɯ
glycerin	글리세린	kɯlliselin
glycyrrhizin	글리시리진	kɯllisilid͡ɕin
glycine	글리신	kɯllisin
gliotoxin	글리오톡신	kɯlliotʰoks͈in
glyoxal	글리옥살	kɯllioks͈al
glyoxaline	글리옥살린	kɯllioks͈allin
glyoxysome	글리옥시솜	kɯllioks͈isom
glycogen	글리코겐	kɯllikʰogen
glycoside	글리코시드	kɯllikʰosidɯ
glycol	글리콜	kɯllikʰol
gliclazide	글리클라자이드	kɯllikʰɯllad͡ɕaidɯ
Glinka	글린카	kɯllinkʰa
ghee	기	ki
giga	기가	kiga
gigabyte	기가바이트	kigabaitʰɯ
Gigantopteris	기간토프테리스	kigantʰopʰɯtʰelisɯ
Gigantopithecus	기간토피테쿠스	kigantʰopʰitʰekʰusɯ
gig	기그	kigɯ
gynogamone	기노가몬	kinogamon
gynura	기누라	kinula
guinea	기니	kini
Gideon	기드온	kidɯon
Giddings	기딩스	kidiŋs͈ɯ
Gierke	기르케	kilɯkʰe
Ghirlandajo	기를란다요	kilɯllandajo
Gibbon	기번	kibʌn
gibbon	기번	kibʌn
Ghiberti	기베르티	kibelɯtʰi
Ghibelline	기벨린	kibellin
Guiscard	기스카르	kisɯkʰalɯ
Gissing	기싱	kisiŋ
gear	기어	kiʌ
Gjellerup	기엘레루프	kiellelupʰɯ
Guillaumin	기요맹	kijomɛŋ
Guillaume	기욤	kijom
Giesebrecht	기제브레히트	kid͡ɕebɯlehitʰɯ
Gieseking	기제킹	kid͡ɕekʰiŋ
Guizot	기조	kid͡ɕo
guitar	기타	kitʰa
guitarist	기타리스트	kitʰalisɯtʰɯ
gittern	기턴	kitʰʌn
Guitry	기트리	kitʰɯli
Gill	길	kil
Gilgamesh	길가메시	kilk͈amesi
Gilgal	길갈	kilgal
Gielgud	길구드	kilgudɯ
guilder	길더	kildʌ
guild	길드	kildɯ
Gilyak	길랴크	killjakʰɯ
Guilmore	길모어	kilmoʌ
gilbert	길버트	kilbʌtʰɯ
Gilbert	길버트	kilbʌtʰɯ
Gilbreth	길브레스	kilbɯlesɯ
gingham	깅엄	kiŋʌm
Naguib	나기브	nagibɯ
NANA	나나	nana
Nana	나나	nana
nano	나노	nano
nanometer	나노미터	nanomitʰʌ
nanosecond	나노세컨드	nanosekʰʌndɯ
nanoamp	나노앰프	nanoɛmpʰɯ
Nathanael	나다나엘	nadanael
Nadar	나다르	nadalɯ
Nathan	네이선	neisʌn
Narses	나르세스	nalɯsesɯ
Narcisse	나르시스	nalɯsisɯ
narcissist	나르시시스트	nalɯsisisɯtʰɯ
narcissism	나르시시즘	nalɯsisid͡ɕɯm
narcotine	나르코틴	nalɯkʰotʰin
narcolepsy	나르콜렙시	nalɯkʰolleps͈i
Narcissos	나르키소스	nalɯkʰisosɯ
narthex	나르텍스	nalɯtʰeks͈ɯ
Nabatea	나바테아	nabatʰea
nabam	나밤	nabam
NASA	나사	nasa
NASARR	나사르	nasalɯ
Nasser	나세르	naselɯ
Nasserism	나세리즘	naselid͡ɕɯm
Naumann	나우만	nauman
Naidu	나이두	naidu
nydrazid	나이드라지드	naidɯlad͡ɕidɯ
Naiman	나이만	naiman
naive	나이브	naibɯ
Neisser	나이서	naisʌ
Nike	나이키	naikʰi
Knight	나이트	naitʰɯ
night	나이트	naitʰɯ
nightgown	나이트가운	naitʰɯgaun
nightwear	나이트웨어	naitʰɯweʌ
nightcap	나이트캡	naitʰɯkʰɛp
nightclub	나이트클럽	naitʰɯkʰɯllʌp
nightingale	나이팅게일	naitʰiŋgeil
knife	나이프	naipʰɯ
nine	나인	nain
ninepins	나인핀스	nainpʰins͈ɯ
nylon	나일론	naillon
NADGE	나지	nad͡ɕi
Nazism	나치즘	nat͡ɕʰid͡ɕɯm
Natta	나타	natʰa
NATO	나토	natʰo
Natorp	나토르프	natʰolɯpʰɯ
natrolite	나트롤라이트	natʰɯlollaitʰɯ
Nattier	나티에	natʰie
naproxen	나프록센	napʰɯloks͈en
naphtha	나프타	napʰɯtʰa
naphthalene	나프탈렌	napʰɯtʰallen
naphthene	나프텐	napʰɯtʰen
naphthol	나프톨	napʰɯtʰol
naphthiomate	나프티오메이트	napʰɯtʰiomeitʰɯ
naphthylamine	나프틸아민	napʰɯtʰilamin
Nachtigal	나흐티갈	nahɯtʰigal
Nansen	난센	nans͈en
nonsense	난센스	nans͈ens͈ɯ
nalorphine	날로르핀	nallolɯpʰin
naloxone	날록손	nalloks͈on
nalbuphine	날부핀	nalbupʰin
naltrexone	날트렉손	naltʰɯleks͈on
narration	내레이션	nɛleisjʌn
narrator	내레이터	nɛleitʰʌ
narrowcasting	내로캐스팅	nɛlokʰɛsɯtʰiŋ
national	내셔널	nɛsjʌnʌl
nationalism	내셔널리즘	nɛsjʌnʌllid͡ɕɯm
Nash	내시	nɛsi
natural	내추럴	nɛt͡ɕʰulʌl
naturalism	내추럴리즘	nɛt͡ɕʰulʌllid͡ɕɯm
NAND	낸드	nɛndɯ
knapsack	냅색	nɛps͈ɛk
napkin	냅킨	nɛpkʰin
nugget	너깃	nʌgit
nurse	너스	nʌsɯ
knucklepart	너클파트	nʌkʰɯlpʰatʰɯ
knucklefour	너클포	nʌkʰɯlpʰo
nut	너트	nʌtʰɯ
null	널	nʌl
number	넘버	nʌmbʌ
numbering	넘버링	nʌmbʌliŋ
Ney	네	ne
negative	네거티브	negʌtʰibɯ
Negev	네게브	negebɯ
Netherlands	네덜란드	nedʌllandɯ
Nedim	네딤	nedim
Nereus	네레우스	neleusɯ
Nero	네로	nelo
Nehru	네루	nelu
Neruda	네루다	neluda
Nergal	네르갈	nelɯgal
Nerva	네르바	nelɯba
Nerval	네르발	nelɯbal
Nervo	네르보	nelɯbo
Nerthus	네르투스	nelɯtʰusɯ
Nernst	네른스트	nelɯns͈ɯtʰɯ
nerine	네리네	neline
Nematoda	네마토다	nematʰoda
Nemesis	네메시스	nemesisɯ
Neverov	네베로프	nebelopʰɯ
Nebuchadnezzar	네부카드네자르	nebukʰadɯned͡ɕalɯ
nebulizer	네뷸라이저	nebjullaid͡ɕʌ
nebula	네뷸러	nebjullʌ
nesodon	네소돈	nesodon
Nesmeyanov	네스메야노프	nesɯmejanopʰɯ
Nestor	네스토르	nesɯtʰolɯ
Nestorius	네스토리우스	nesɯtʰoliusɯ
Nestroy	네스트로이	nesɯtʰɯloi
Neander	네안더	neandʌ
neo	네오	neo
neodymium	네오디뮴	neodimjum
neomycin	네오마이신	neomaisin
neoceratodus	네오세라토더스	neoselatʰodʌsɯ
neoschwagerina	네오슈와게리나	neosjuwagelina
neostigmine	네오스티그민	neosɯtʰigɯmin
neocalamites	네오칼라미테스	neokʰallamitʰesɯ
neopentane	네오펜탄	neopʰentʰan
neoprene	네오프렌	neopʰɯlen
Neoptolemos	네오프톨레모스	neopʰɯtʰollemosɯ
neopilina	네오필리나	neopʰillina
neon	네온	neon
Nasmyth	네이즈미스	neid͡ɕɯmisɯ
native	네이티브	neitʰibɯ
Napier	네이피어	neipʰiʌ
nail	네일	neil
name	네임	neim
Nezval	네즈발	ned͡ɕɯbal
neckerchief	네커치프	nekʰʌt͡ɕʰipʰɯ
Necker	네케르	nekʰelɯ
Necho	네코	nekʰo
Nekrasov	네크라소프	nekʰɯlasopʰɯ
neckline	네크라인	nekʰɯlain
necrophobia	네크로포비아	nekʰɯlopʰobia
net	네트	netʰɯ
netball	네트볼	netʰɯbol
network	네트워크	netʰɯwʌkʰɯ
networking	네트워킹	netʰɯwʌkʰiŋ
netizen	네티즌	netʰid͡ɕɯn
netiquette	네티켓	netʰikʰet
Nepal	네팔	nepʰal
neper	네퍼	nepʰʌ
Nefertum	네페르툼	nepʰelɯtʰum
nepenthes	네펜테스	nepʰentʰesɯ
Nepos	네포스	nepʰosɯ
nepotism	네포티즘	nepʰotʰid͡ɕɯm
NEP	네프	nepʰɯ
nephron	네프론	nepʰɯlon
Nephthys	네프티스	nepʰɯtʰisɯ
neck	넥	nek
next	넥스트	neks͈ɯtʰɯ
nectar	넥타	nektʰa
necktie	넥타이	nektʰai
nekton	넥톤	nektʰon
Nenni	넨니	nenni
Neleus	넬레우스	nelleusɯ
nelson	넬슨	nels͈ɯn
nep	넵	nep
Neptunus	넵투누스	neptʰunusɯ
neptunium	넵투늄	neptʰunjum
Neptune	넵튠	neptʰjun
nonane	노난	nonan
nonet	노넷	nonet
Nono	노노	nono
norther	노더	nodʌ
nodule	노듈	nodjul
node	노드	nodɯ
Nodier	노디에	nodie
Nora	노라	nola
NORAD	노라드	noladɯ
Noraism	노라이즘	nolaid͡ɕɯm
Nornen	노르넨	nolɯnen
Nordide	노르디데	nolɯdide
Norwid	노르비트	nolɯbitʰɯ
noradrenalin	노르아드레날린	nolɯadɯlenallin
norepinephrine	노르에피네프린	nolɯepʰinepʰɯlin
Norris	노리스	nolisɯ
Norrish	노리시	nolisi
normalization	노멀라이제이션	nomʌllaid͡ɕeisjʌn
nomograph	노모그래프	nomogɯlɛpʰɯ
nomogram	노모그램	nomogɯlɛm
nomos	노모스	nomosɯ
nominate	노미네이트	nomineitʰɯ
nova	노바	noba
Novalis	노발리스	noballisɯ
Noverre	노베르	nobelɯ
Nobel	노벨	nobel
Novela	노벨라	nobella
nobelium	노벨륨	nobelljum
novelty	노벨티	nobeltʰi
novembichin	노벰비킨	nobembikʰin
novobiocin	노보비오신	nobobiosin
novolak	노볼락	nobollak
knob	노브	nobɯ
Novial	노비알	nobial
Novikov	노비코프	nobikʰopʰɯ
Nobile	노빌레	nobille
nobilitas	노빌리타스	nobillitʰasɯ
Nossack	노사크	nosakʰɯ
noscapine	노스카핀	nosɯkʰapʰin
Noske	노스케	nosɯkʰe
Northcliffe	노스클리프	nosɯkʰɯllipʰɯ
nostalgia	노스탤지어	nosɯtʰɛld͡ɕiʌ
Nostradamus	노스트라다무스	nosɯtʰɯladamusɯ
NOR	노어	noʌ
noegenesis	노에제네시스	noed͡ɕenesisɯ
noy	노이	noi
Neumann	노이만	noiman
noise	노이즈	noid͡ɕɯ
noil	노일	noil
nozzle	노즐	nod͡ɕɯl
notch	노치	not͡ɕʰi
knocker	노커	nokʰʌ
knock	노크	nokʰɯ
knocking	노킹	nokʰiŋ
NOTAM	노탐	notʰam
notornis	노토르니스	notʰolɯnisɯ
nothosaurus	노토사우루스	notʰosaulusɯ
note	노트	notʰɯ
knot	노트	notʰɯ
notebook	노트북	notʰɯbuk
Norfolk	노퍽	nopʰʌk
nauplius	노플리우스	nopʰɯlliusɯ
knowhow	노하우	nohau
knockdown	녹다운	nokt͈aun
Knox	녹스	noks͈ɯ
Knoxville	녹스빌	noks͈ɯbil
knockout	녹아웃	nogaut
nocturne	녹턴	noktʰʌn
noctovision	녹토비전	noktʰobid͡ɕʌn
Nonnos	논노스	nonnosɯ
nonstop	논스톱	nons͈ɯtʰop
nonactin	논악틴	nonaktʰin
nontitle	논타이틀	nontʰaitʰɯl
nonfiction	논픽션	nonpʰiks͈jʌn
Nolde	놀데	nolde
Emil	에밀	emil
nolina	놀리나	nollina
Nome	놈	nom
Njord	뇨르드	njolɯdɯ
gnu	누	nu
nunatak	누나탁	nunatʰak
nude	누드	nudɯ
noodle	누들	nudɯl
Nurmi	누르미	nulɯmi
noumenon	누메논	numenon
Numidia	누미디아	numidia
Nut	누트	nutʰɯ
Newgate	뉴게이트	njugeitʰɯ
neuraminidase	뉴라미니다아제	njulaminidaad͡ɕe
Newlands	뉴랜즈	njulɛnd͡ɕɯ
neuron	뉴런	njulʌn
Newman	뉴먼	njumʌn
Newbolt	뉴볼트	njuboltʰɯ
news	뉴스	njusɯ
Newark	뉴어크	njuʌkʰɯ
Newcastle	뉴캐슬	njukʰɛsɯl
Newcomen	뉴커먼	njukʰʌmʌn
Newcomb	뉴컴	njukʰʌm
nuclease	뉴클레아제	njukʰɯllead͡ɕe
nucleonics	뉴클레오닉스	njukʰɯlleoniks͈ɯ
nucleoside	뉴클레오시드	njukʰɯlleosidɯ
nucleocapsid	뉴클레오캡시드	njukʰɯlleokʰɛps͈idɯ
nucleotide	뉴클레오티드	njukʰɯlleotʰidɯ
nucleohistone	뉴클레오히스톤	njukʰɯlleohisɯtʰon
nuclein	뉴클레인	njukʰɯllein
Newton	뉴턴	njutʰʌn
newton	뉴턴	njutʰʌn
neutral	뉴트럴	njutʰɯlʌl
neutron	뉴트론	njutʰɯlon
neutrino	뉴트리노	njutʰɯlino
nutria	뉴트리아	njutʰɯlia
Newfoundland	뉴펀들랜드	njupʰʌndɯllɛndɯ
Newport	뉴포트	njupʰotʰɯ
neume	늄	njum
Nehemiah	느헤미야	nɯhemija
Negro	니그로	nigɯlo
nigrosine	니그로신	nigɯlosin
Negroid	니그로이드	nigɯloidɯ
