Erlander	엘란데르	ellandelɯ
Södertälje	쇠데르텔리에	swedelɯtʰellie
Halmstad	할름스타드	hallɯms͈ɯtʰadɯ
Magnus	망누스	maŋnusɯ
Luleå	룰레오	lulleo
Kjell	셸	sjel
Axel	악셀	aks͈el
Falun	팔룬	pʰallun
Hjälmaren	옐마렌	jelmalen
älg	엘리	elli
Örebro	외레브로	welebɯlo
Gjörwell	예르벨	jelɯbel
dricka	드리카	tɯlikʰa
Uppsala	웁살라	ups͈alla
revansch	레반슈	lebans͈ju
luft	루프트	lupʰɯtʰɯ
station	스타숀	sɯtʰasjon
Bromma	브롬마	pɯlomma
Nässjö	네셰	nesje
Strindberg	스트린드베리	sɯtʰɯlindɯbeli
Kock	코크	kʰokʰɯ
vacker	바케르	pakʰelɯ
oktober	옥토베르	oktʰobelɯ
Oxenstjerna	옥센셰르나	oks͈ens͈jelɯna
Alexander	알렉산데르	alleks͈andelɯ
Johansson	요한손	johans͈on
Sverige	스베리예	sɯbelije
knappt	크납트	kʰɯnaptʰɯ
Dannemora	단네모라	tannemola
snabbt	스납트	sɯnaptʰɯ
Karlshamn	칼스함	kʰals͈ɯham
Stjärneborg	셰르네보리	sjelɯneboli
land	란드	landɯ
Kjula	슐라	sjulla
Stockholm	스톡홀름	sɯtʰokʰollɯm
skörd	셰르드	sjelɯdɯ
sex	섹스	seks͈ɯ
Hjort	요르트	jolɯtʰɯ
Enköping	엔셰핑	ens͈jepʰiŋ
Hälsingborg	헬싱보리	hels͈iŋboli
Trollhättan	트롤헤탄	tʰɯlolhetʰan
Skellefteå	셸레프테오	sjellepʰɯtʰeo
dans	단스	tans͈ɯ
kedja	셰디아	sjedia
Lund	룬드	lundɯ
Wasa	바사	pasa
skuldra	스쿨드라	sɯkʰuldɯla
Botkyrka	봇쉬르카	pots͈wilɯkʰa
Jarl	얄	jal
Björling	비엘링	pielliŋ
Mälaren	멜라렌	mellalen
sommar	솜마르	sommalɯ
tal	탈	tʰal
Djurgården	유르고르덴	julɯgolɯden
Kungsholm	쿵스홀름	kʰuŋs͈ɯhollɯm
Norrköping	노르셰핑	nolɯsjepʰiŋ
Hammarskjöld	함마르셸드	hammalɯsjeldɯ
zon	손	son
Skoglund	스코글룬드	sɯkʰogɯllundɯ
Ragnar	랑나르	laŋnalɯ
anka	앙카	aŋkʰa
Idre	이드레	idɯle
Zachris	사크리스	sakʰɯlisɯ
Borlänge	볼렝에	polleŋe
Ljusnan	유스난	jusɯnan
charm	샤름	sjalɯm
Grönberg	그뢴베리	kɯlwenbeli
Malmqvist	말름크비스트	mallɯmkʰɯbisɯtʰɯ
Åmål	오몰	omol
Västerås	베스테로스	pesɯtʰelosɯ
Thunberg	툰베리	tʰunbeli
campa	캄파	kʰampʰa
Skjöldebrand	셸데브란드	sjeldebɯlant͈ɯ
tala	탈라	tʰalla
båt	보트	potʰɯ
hyra	휘라	hwila
Ystad	위스타드	wisɯtʰadɯ
