a	에이	ei
Albertville	앨버트빌	ɛlbʌtʰɯbil
Albia	앨비아	ɛlbia
Albin	앨빈	ɛlbin
albino	알비노	albino
Albion	알비온	albion
Albright	올브라이트	olbɯlaitʰɯ
album	앨범	ɛlbʌm
Albuquerque	앨버커큐	ɛlbʌkʰʌkʰju
Albury	앨버리	ɛlbʌli
Alcoa	알코아	alkʰoa
alcohol	알코올	alkʰool
Alcolu	알콜루	alkʰollu
aldehyde	알데히드	aldehidɯ
Alden	올던	oldʌn
Alder	앨더	ɛldʌ
Alderley	앨덜리	ɛldʌlli
Alderpoint	앨더포인트	ɛldʌpʰointʰɯ
Alderson	앨더슨	ɛldʌsɯn
Aldora	알도라	aldola
Aldrich	알드리치	aldɯlit͡ɕʰi
Aledo	알레도	alledo
Aleknagik	알레크나기크	allekʰɯnagikʰɯ
Alesia	알레시아	allesia
Alex	알렉스	alleks͈ɯ
Alexander	알렉산더	alleks͈andʌ
Alexandra	알렉산드라	alleks͈andɯla
Alexandria	알렉산드리아	alleks͈andɯlia
Alexis	알렉시스	alleks͈isɯ
Alfalfa	알팔파	alpʰalpʰa
Alford	알퍼드	alpʰʌdɯ
Alfred	알프레드	alpʰɯledɯ
ALGOL	알골	algol
Algona	앨고나	ɛlgona
algorithm	알고리즘	algolid͡ɕɯm
Alhambra	앨햄브라	ɛlhɛmbɯla
alibi	알리바이	allibai
Alicante	알리칸테	allikʰantʰe
Alice	앨리스	ɛllisɯ
Aliceville	앨리스빌	ɛllisɯbil
Alicia	알리시아	allisia
alien	에일리언	eilliʌn
Aline	앨라인	ɛllain
Alipay	알리페이	allipʰei
Aliquippa	앨리퀴파	ɛllikʰwipʰa
alive	얼라이브	ʌllaibɯ
alkali	알칼리	alkʰalli
alkaloid	알칼로이드	alkʰalloidɯ
Alkol	알코올	alkʰool
all	올	ol
Allagash	알라가시	allagasi
Allah	알라	alla
Allakaket	알라카케트	allakʰakʰetʰɯ
Alledonia	알레도니아	alledonia
Allegan	앨러간	ɛllʌgan
Allegany	앨러가니	ɛllʌgani
Alleghany	앨러게니	ɛllʌgeni
allegory	알레고리	allegoli
Alleman	에일맨	eilmɛn
Allen	앨런	ɛllʌn
Allendale	앨런데일	ɛllʌndeil
Allenhurst	앨런허스트	ɛllʌnhʌsɯtʰɯ
Allensworth	앨런스워스	ɛllʌns͈ɯwʌsɯ
Allentown	앨렌타운	ɛllentʰaun
Allergen	알레르겐	allelɯgen
allergie	알레르기	allelɯgi
Allerton	앨러턴	ɛllʌtʰʌn
Allgood	올굿	olgut
Alliance	얼라이언스	ʌllaiʌns͈ɯ
Allison	앨리슨	ɛllisɯn
Alloy	알로이	alloi
Allport	올포트	olpʰotʰɯ
Allyn	알레인	allein
Alma	앨마	ɛlma
Almaty	알마티	almatʰi
Almeria	앨머리아	ɛlmʌlia
Almira	알미라	almila
Almo	앨모	ɛlmo
Almon	앨먼	ɛlmʌn
almond	아몬드	amondɯ
Almond	알몬드	almondɯ
Almont	알몬트	almontʰɯ
almost	올모스트	olmosɯtʰɯ
Almyra	알미라	almila
Alna	앨너	ɛllʌ
aloe	알로에	alloe
Alpena	앨피너	ɛlpʰinʌ
Alpha	알파	alpʰa
AlphaGo	알파고	alpʰago
Alpharetta	알파레타	alpʰaletʰa
Alpine	알파인	alpʰain
Alpoca	알포카	alpʰokʰa
Alread	알리드	allidɯ
Alsen	알슨	als͈ɯn
Alsop	앨솝	ɛls͈op
Alta	알타	altʰa
Altair	알테어	altʰeʌ
Altamont	알타몬트	altʰamontʰɯ
altavista	알타비스타	altʰabisɯtʰa
Altavista	알타비스타	altʰabisɯtʰa
Altha	알타	altʰa
Altheimer	앨세이머	ɛls͈eimʌ
Altitude	앨티튜드	ɛltʰitʰjudɯ
alto	알토	altʰo
Alto	앨토	ɛltʰo
Alton	얼턴	ʌltʰʌn
Altona	알토나	altʰona
altruism	앨트루이즘	ɛltʰɯluid͡ɕɯm
Altura	앨투라	ɛltʰula
Alturas	앨투러스	ɛltʰulʌsɯ
Altus	앨투스	ɛltʰusɯ
altvore	알트보어	altʰɯboʌ
aluminium	알루미늄	alluminjum
Alva	앨바	ɛlba
Alvada	앨버다	ɛlbʌda
Alvarado	알바라도	albalado
Alvin	앨빈	ɛlbin
always	올웨이즈	olweid͡ɕɯ
Aly	앨리	ɛlli
Alzada	알자다	ald͡ɕada
AM	에이엠	eiem
Amador	아마도르	amadolɯ
Amagon	아마곤	amagon
Amalia	아말리아	amallia
Amanda	아만다	amanda
Amarillo	아마릴로	amalillo
amaryllis	아마릴리스	amalillisɯ
amateur	아마추어	amat͡ɕʰuʌ
Amateur	아마추어	amat͡ɕʰuʌ
amazon	아마존	amad͡ɕon
Amazon	아마존	amad͡ɕon
Amber	앰버	ɛmbʌ
Ambia	앰비아	ɛmbia
Ambler	앰블러	ɛmbɯllʌ
Amboy	앰보이	ɛmboi
Ambridge	앰브리지	ɛmbɯlid͡ɕi
Ambrose	앰브로즈	ɛmbɯlod͡ɕɯ
ambulance	앰블런스	ɛmbɯllʌns͈ɯ
Amelia	아멜리아	amellia
amen	아멘	amen
Amenia	아메니아	amenia
America	아메리카	amelikʰa
Americana	아메리카나	amelikʰana
Americanism	아메리카즘	amelikʰad͡ɕɯm
americium	아메리슘	amelisjum
Americus	아메리커스	amelikʰʌsɯ
Amery	애머리	ɛmʌli
Ames	에임스	eims͈ɯ
Amesbury	에임즈베리	eimd͡ɕɯbeli
Amherst	애머스트	ɛmʌsɯtʰɯ
Amidon	애미던	ɛmidʌn
Amigo	아미고	amigo
Amish	애미시	ɛmisi
Amissville	아미스빌	amisɯbil
Amistad	아미스타드	amisɯtʰadɯ
Amite	에이미트	eimitʰɯ
Amity	아미티	amitʰi
Amlin	애믈린	ɛmɯllin
Amma	애마	ɛma
Amman	암만	amman
Ammon	암몬	ammon
ammonia	암모니아	ammonia
Amo	아모	amo
amoeba	아메바	ameba
amore	아모레	amole
Amorita	아모리타	amolitʰa
Amory	에이모리	eimoli
Amos	아모스	amosɯ
amp	앰프	ɛmpʰɯ
ampere	암페어	ampʰeʌ
ampoule	앰플	ɛmpʰɯl
Amsden	앰스던	ɛms͈ɯdʌn
Amsterdam	암스테르담	ams͈ɯtʰelɯdam
amuse	어뮤즈	ʌmjud͡ɕɯ
Anabel	애너벨	ɛnʌbel
Anaconda	애너콘다	ɛnʌkʰonda
Anacortes	아나코테스	anakʰotʰesɯ
Anadarko	애너다코	ɛnʌdakʰo
ANADOLU	아나돌루	anadollu
anagram	애너그램	ɛnʌgɯlɛm
Anaheim	애너하임	ɛnʌhaim
Anahuac	아나우악	anauak
analog	아날로그	anallogɯ
analytics	애널리틱스	ɛnʌllitʰiks͈ɯ
Ananova	아나노바	ananoba
Anapa	아나파	anapʰa
Ancho	앤초	ɛnt͡ɕʰo
anchor	앵커	ɛŋkʰʌ
Anchorage	앵커리지	ɛŋkʰʌlid͡ɕi
Anco	앤코	ɛnkʰo
Ancona	안코나	ankʰona
and	앤드	ɛndɯ
Andale	앤데일	ɛndeil
Andalusia	안달루시아	andallusia
Anderson	앤더슨	ɛndʌsɯn
Andersonville	앤더슨빌	ɛndʌsɯnbil
Andes	안데스	andesɯ
Anding	앤딩	ɛndiŋ
Andover	앤도버	ɛndobʌ
Andree	앤드리	ɛndɯli
Andres	안드레스	andɯlesɯ
Andrew	앤드루	ɛndɯlu
Andrews	앤드루스	ɛndɯlusɯ
android	안드로이드	andɯloidɯ
Android	안드로이드	andɯloidɯ
Aneta	아네타	anetʰa
angel	엔젤	end͡ɕel
Angelica	앤젤리카	ɛnd͡ɕellikʰa
Angelo	안젤로	and͡ɕello
Angier	앤지어	ɛnd͡ɕiʌ
angle	앵글	ɛŋgɯl
Angola	앙골라	aŋgolla
Angoon	안군	angun
angora	앙고라	aŋgola
Angora	앵고라	ɛŋgola
Anguilla	앵길라	ɛŋgilla
Angus	앵거스	ɛŋgʌsɯ
animal	애니멜	ɛnimel
Animas	애니머스	ɛnimʌsɯ
animation	애니메이션	ɛnimeisjʌn
Anita	애니타	ɛnitʰa
Ankara	앙카라	aŋkʰala
Ankeny	앙키니	aŋkʰini
Anna	애나	ɛna
Annabella	애나벨라	ɛnabella
Annandale	애넌데일	ɛnʌndeil
Annapolis	아나폴리스	anapʰollisɯ
Anniston	애니스턴	ɛnisɯtʰʌn
Annona	아노나	anona
announcer	아나운서	anauns͈ʌ
Annsville	앤즈빌	ɛnd͡ɕɯbil
Annville	앤빌	ɛnbil
Anoka	애너카	ɛnʌkʰa
Anonymous	어나니머스	ʌnanimʌsɯ
Anson	앤슨	ɛns͈ɯn
Ansonia	앤소니아	ɛns͈onia
Antalya	안탈야	antʰalja
Antelope	앤털로프	ɛntʰʌllopʰɯ
antenna	안테나	antʰena
Anthem	앤텀	ɛntʰʌm
anthology	앤솔러지	ɛns͈ollʌd͡ɕi
Anthon	앤손	ɛns͈on
Anthony	앤서니	ɛns͈ʌni
Antietam	앤티텀	ɛntʰitʰʌm
Antigo	안티고	antʰigo
Antigua	앤티가	ɛntʰiga
Antimony	안티모니	antʰimoni
Antioch	앤티오크	ɛntʰiokʰɯ
antique	안티크	antʰikʰɯ
Antler	앤틀러	ɛntʰɯllʌ
Antlers	앤틀러스	ɛntʰɯllʌsɯ
Antoine	앙투안	aŋtʰuan
Anton	앤턴	ɛntʰʌn
Antwerp	앤튜워프	ɛntʰjuwʌpʰɯ
Anvik	안비크	anbikʰɯ
any	애니	ɛni
anywhere	애니웨어	ɛniweʌ
Anza	안자	and͡ɕa
Aomori	아오모리	aomoli
Apache	아파치	apʰat͡ɕʰi
Apalachicola	아팔라치콜라	apʰallat͡ɕʰikʰolla
apartment	아파트	apʰatʰɯ
aphorism	아포리즘	apʰolid͡ɕɯm
Apollo	아폴로	apʰollo
Apopka	아폽카	apʰopkʰa
aporia	아포리아	apʰolia
app	앱	ɛp
Appalachia	애팔래치아	ɛpʰallɛt͡ɕʰia
appeal	어필	ʌpʰil
apple	애플	ɛpʰɯl
Appleby	애플비	ɛpʰɯlbi
Applegate	애플게이트	ɛpʰɯlgeitʰɯ
applet	애플릿	ɛpʰɯllit
Appleton	애플턴	ɛpʰɯltʰʌn
application	애플리케이션	ɛpʰɯllikʰeisjʌn
Appling	애플링	ɛpʰɯlliŋ
Appomattox	아포맷톡스	apʰomɛttʰoks͈ɯ
apt	앱트	ɛptʰɯ
AQ	에이큐	eikʰju
Aqaba	아카바	akʰaba
Aquasco	아쿠아스코	akʰuasɯkʰo
aquatint	애쿼틴트	ɛkʰwʌtʰintʰɯ
aque	아쿠아	akʰua
Aquilla	아퀼라	akʰwilla
Aquinnah	아퀴나	akʰwina
Arabi	아라비	alabi
Arabia	아라비아	alabia
Aragon	아라곤	alagon
Arapahoe	아라파호	alapʰaho
Ararat	아라랏	alalat
Arboga	아보가	aboga
Arborvale	아보베일	abobeil
Arbuckle	아버클	abʌkʰɯl
Arcade	아케이드	akʰeidɯ
Arcadia	아카디아	akʰadia
Arcata	아르카타	alɯkʰatʰa
arch	아치	at͡ɕʰi
Archdale	아치데일	at͡ɕʰideil
Archer	아처	at͡ɕʰʌ
Archie	아치	at͡ɕʰi
architecture	아키텍처	akʰitʰekt͡ɕʰʌ
archive	아카이브	akʰaibɯ
Arco	아코	akʰo
Arcola	아콜라	akʰolla
Arcturus	악튜러스	aktʰjulʌsɯ
Ardell	아르델	alɯdel
Arden	아든	adɯn
Ardmore	아드모어	adɯmoʌ
Arduino	아두이노	aduino
Aredale	에어데일	eʌdeil
Arena	아레나	alena
Argo	아르고	alɯgo
argon	아르곤	alɯgon
Argonia	아고니아	agonia
Argonne	아르곤	alɯgon
Argos	아르고스	alɯgosɯ
Argyle	아가일	agail
Ari	아리	ali
aria	아리아	alia
Ariel	아리엘	aliel
Arietta	아리에타	alietʰa
Arimo	아리모	alimo
Aripeka	애리퍼카	ɛlipʰʌkʰa
Ariton	에리톤	elitʰon
Arivaca	아리바카	alibakʰa
Arizona	애리조나	ɛlid͡ɕona
Arkansas	아칸소	akʰans͈o
Arkansaw	아칸소	akʰans͈o
Arkdale	아크데일	akʰɯdeil
Arkhangelsk	아르항겔스크	alɯhaŋgels͈ɯkʰɯ
Arkoma	아코마	akʰoma
Arland	알랜드	allɛndɯ
Arley	알리	alli
Arlington	알링턴	alliŋtʰʌn
Arma	아르마	alɯma
armadillo	아르마딜로	alɯmadillo
Armel	아르멜	alɯmel
Armenia	아르메니아	alɯmenia
Armidale	아미데일	amideil
Armilda	아밀다	amilda
Armour	아무르	amulɯ
Armstrong	암스트롱	ams͈ɯtʰɯloŋ
Arnegard	안가드	angadɯ
Arnett	아네트	anetʰɯ
Arnold	아놀드	anoldɯ
Arnott	아노트	anotʰɯ
Arock	에이록	eilok
Arp	아프	apʰɯ
Arpin	아핀	apʰin
Arrey	애리	ɛli
Arriba	아리바	aliba
Arrington	애링턴	ɛliŋtʰʌn
arrive	어라이브	ʌlaibɯ
art	아트	atʰɯ
Art	아트	atʰɯ
Artesia	아르테시아	alɯtʰesia
Artesian	르테시안	lɯtʰesian
Arthur	아서	asʌ
Arthurdale	아서데일	asʌdeil
Artie	아티	atʰi
Artify	아티파이	atʰipʰai
artist	아티스트	atʰisɯtʰɯ
Aruba	아루바	aluba
Arundel	애런델	ɛlʌndel
Arvada	알바다	albada
Arvida	아바이다	abaida
Arvin	아빈	abin
Arvonia	아보니아	abonia
Asa	애사	ɛsa
Asahikawa	아사히카와	asahikʰawa
Asbury	애즈베리	ɛd͡ɕɯbeli
ASCII	아스키	asɯkʰi
Asco	애스코	ɛsɯkʰo
ase	아스펜	asɯpʰen
ASEM	아셈	asem
Ash	애쉬	ɛswi
Ashburn	애슈번	ɛsjubʌn
Ashburnham	애시번햄	ɛsibʌnhɛm
Ashburton	애슈버턴	ɛsjubʌtʰʌn
Ashby	애시비	ɛsibi
Ashdown	애시다운	ɛsidaun
Asheboro	애쉬버러	ɛswibʌlʌ
Asher	애셔	ɛsjʌ
Asheville	애슈빌	ɛsjubil
Ashfield	애시필드	ɛsipʰildɯ
Ashford	애쉬포드	ɛswipʰodɯ
Ashgabat	아슈하바드	asjuhabadɯ
Ashland	애슐랜드	ɛsjullɛndɯ
Ashley	애슐리	ɛsjulli
Ashtabula	애슈터뷸라	ɛsjutʰʌbjulla
Ashton	애시턴	ɛsitʰʌn
Ashville	애슈빌	ɛsjubil
Ashwood	애쉬우드	ɛswiudɯ
Asmara	아스마라	asɯmala
asparagus	아스파라거스	asɯpʰalagʌsɯ
Aspen	아스펜	asɯpʰen
asphalt	아스팔트	asɯpʰaltʰɯ
Aspinwall	아스핀월	asɯpʰinwʌl
Aspirin	아스피린	asɯpʰilin
Assaria	아사리아	asalia
assembler	어셈블러	ʌsembɯllʌ
Assumption	어섬션	ʌsʌms͈jʌn
Astana	아스타나	asɯtʰana
astatine	아스타틴	asɯtʰatʰin
Astatula	아스타툴라	asɯtʰatʰulla
Asti	애스티	ɛsɯtʰi
Astoria	애스토리아	ɛsɯtʰolia
Astrakhan	아스트라한	asɯtʰɯlahan
Asuncion	아순시온	asuns͈ion
asus	에이수스	eisusɯ
Atascadero	아타스카데로	atʰasɯkʰadelo
Atchison	애치슨	ɛt͡ɕʰisɯn
Atco	앳코	ɛtkʰo
Athelstan	애설스탠	ɛsʌls͈ɯtʰɛn
Athena	아테나	atʰena
Athens	애선스	ɛsʌns͈ɯ
Atherton	애서턴	ɛsʌtʰʌn
Athlon	애슬론	ɛsɯllon
Athol	애솔	ɛsol
Atkins	앳킨스	ɛtkʰins͈ɯ
Atkinson	앳킨슨	ɛtkʰins͈ɯn
Atlanta	애틀랜타	ɛtʰɯllɛntʰa
Atlantic	애틀란틱	ɛtʰɯllantʰik
Atlantis	아틀란티스	atʰɯllantʰisɯ
Atlas	애틀라스	ɛtʰɯllasɯ
Atlee	애틀리	ɛtʰɯlli
Atmore	애트모어	ɛtʰɯmoʌ
atom	애톰	ɛtʰom
attachment	어태치먼트	ʌtʰɛt͡ɕʰimʌntʰɯ
Attalla	아탈라	atʰalla
Attica	애티카	ɛtʰikʰa
Attleboro	애틀버로	ɛtʰɯlbʌlo
Atwater	앳워터	ɛswʌtʰʌ
Atwell	애트웰	ɛtʰɯwel
Atwood	앳우드	ɛsudɯ
Aubrey	오브리	obɯli
Auburn	오번	obʌn
Auburndale	오번데일	obʌndeil
Aucilla	오실라	osilla
Auckland	오클랜드	okʰɯllɛndɯ
auction	옥션	oks͈jʌn
Auction	옥션	oks͈jʌn
audio	오디오	odio
audiotex	오디오텍스	odiotʰeks͈ɯ
audiovisual	오디오비주얼	odiobid͡ɕuʌl
audiphone	오디폰	odipʰon
audition	오디션	odisjʌn
Audra	오드라	odɯla
Audubon	오듀본	odjubon
Augsburg	옥스버그	oks͈ɯbʌgɯ
Augusta	어거스타	ʌgʌsɯtʰa
Augustin	아우구스틴	augusɯtʰin
Aulander	오랜더	olɛndʌ
Aulne	올른	ollɯn
Ault	올트	oltʰɯ
aunt	안트	antʰɯ
Aura	오라	ola
Aurangabad	아우랑가바드	aulaŋgabadɯ
Aurantia	오란시아	olans͈ia
Aurelia	오릴리아	olillia
aurora	오로라	olola
Aurora	오로라	olola
Austa	오스타	osɯtʰa
Austell	오스텔	osɯtʰel
Austerlitz	오스터리츠	osɯtʰʌlit͡ɕʰɯ
Austin	오스틴	osɯtʰin
Austinville	오스틴빌	osɯtʰinbil
Australia	오스트레일리아	osɯtʰɯleillia
Austria	오스트리아	osɯtʰɯlia
authority	오소리티	osolitʰi
auto	오토	otʰo
automat	오토멧	otʰomet
automatic	오토매틱	otʰomɛtʰik
automation	오토메이션	otʰomeisjʌn
Autryville	오트리빌	otʰɯlibil
autumn	오템	otʰem
Auvil	오빌	obil
Ava	에이바	eiba
Avalon	아발론	aballon
Avant	아반트	abantʰɯ
Avard	애바드	ɛbadɯ
Avatar	아바타	abatʰa
Avenal	아베날	abenal
Aventura	아벤투라	abentʰula
Avenue	애비뉴	ɛbinju
Avera	어베라	ʌbela
Averill	애버릴	ɛbʌlil
Avery	에이버리	eibʌli
Avilla	아빌라	abilla
Avoca	아보카	abokʰa
avocado	아보카도	abokʰado
Avon	에이번	eibʌn
Avondale	애번데일	ɛbʌndeil
Axis	엑시스	eks͈isɯ
Axtell	액스텔	ɛks͈ɯtʰel
Axton	액스턴	ɛks͈ɯtʰʌn
Ayden	에이든	eidɯn
Ayer	아이어	aiʌ
Ayrshire	에어셔	eʌsjʌ
Azalia	아잘리아	ad͡ɕallia
Azerbaijan	아제르바이잔	ad͡ɕelɯbaid͡ɕan
Aztec	아즈텍	ad͡ɕɯtʰek
Azusa	아주사	ad͡ɕusa
Azwell	아즈웰	ad͡ɕɯwel
b	비	pi
Babb	밥	pap
Babbie	배비	pɛbi
Babbitt	배비트	pɛbitʰɯ
Babcock	배브콕	pɛbɯkʰok
Baber	바버	pabʌ
baby	베이비	peibi
Babylon	바빌론	pabillon
babysitter	베이비시터	peibisitʰʌ
Bache	배시	pɛsi
back	백	pɛk
backbone	백본	pɛkp͈on
Backoo	백쿠	pɛkkʰu
backup	백업	pɛgʌp
Backus	배커스	pɛkʰʌsɯ
bacon	베이컨	peikʰʌn
Bacova	바코바	pakʰoba
bacteria	박테리아	paktʰelia
bad	배드	pɛdɯ
Bader	베이더	peidʌ
badge	배지	pɛd͡ɕi
Badger	배저	pɛd͡ɕʌ
Badlands	배들랜즈	pɛdɯllɛnd͡ɕɯ
badminton	배드민턴	pɛdɯmintʰʌn
bag	백	pɛk
Bagdad	바그다드	pagɯdadɯ
Baghdad	바그다드	pagɯdadɯ
Bagley	베이글리	peigɯlli
Bahama	버하마	pʌhama
Bahamas	바하마	pahama
Bahia	바히아	pahia
Bahrain	바레인	palein
Bailey	베일리	peilli
Bainbridge	베인브리지	peinbɯlid͡ɕi
Bains	베인스	peins͈ɯ
Baird	베어드	peʌdɯ
Bairnsdale	베언즈데일	peʌnd͡ɕɯdeil
Bairoil	베어오일	peʌoil
Baker	베이커	peikʰʌ
Bakersfield	베이커즈필드	peikʰʌd͡ɕɯpʰildɯ
Bakersville	베이커스빌	peikʰʌsɯbil
Bakerville	베이커빌	peikʰʌbil
bakery	베이커리	peikʰʌli
BAKU	바쿠	pakʰu
balance	밸런스	pɛllʌns͈ɯ
Balaton	밸러턴	pɛllʌtʰʌn
Balclutha	밸클러서	pɛlkʰɯllʌsʌ
Balcom	발콤	palkʰom
balcony	발코니	palkʰoni
Baldwin	볼드윈	poldɯwin
Balfour	밸푸어	pɛlpʰuʌ
Bali	발리	palli
Balikpapan	발릭파판	pallikpʰapʰan
Balko	발코	palkʰo
ball	볼	pol
ballad	발라드	palladɯ
ballade	발라드	palladɯ
Ballarat	밸러랫	pɛllʌlɛt
Ballard	볼라드	polladɯ
Ballardsville	발라즈빌	pallad͡ɕɯbil
Ballengee	볼렌지	pollend͡ɕi
Ballentine	밸런타인	pɛllʌntʰain
ballerina	발레리나	pallelina
Ballico	볼리코	pollikʰo
Ballinger	볼린저	pollind͡ɕʌ
Ballwin	볼윈	polwin
Balm	밤	pam
Balta	볼타	poltʰa
Baltic	발틱	paltʰik
Baltimore	볼티모어	poltʰimoʌ
Bamako	바마코	pamakʰo
Bamberg	밤베르그	pambelɯgɯ
banana	바나나	panana
