προϋπολογίζω	프로이폴로이조	pʰɯloipʰolloid͡ɕo
Κλυταιμνήστρα	클리템니스트라	kʰɯllitʰemnisɯtʰɯla
είσαι	이세	ise
Άννα	아나	ana
Σπάρτη	스파르티	sɯpʰalɯtʰi
Σημίτης	시미티스	simitʰisɯ
Τραϊανός	트라이아노스	tʰɯlaianosɯ
ευχή	에프히	epʰɯhi
μονοθεϊστική	모노테이스티키	monotʰeisɯtʰikʰi
Αττική	아티키	atʰikʰi
ατμοσφαίρας	아트모스페라스	atʰɯmosɯpʰelasɯ
εκπνέω	엑프네오	ekpʰɯneo
Μάρθα	마르타	malɯtʰa
έλεγχος	엘렝호스	elleŋhosɯ
σάλπιγξ	살핑크스	salpʰiŋkʰɯsɯ
γεννώ	예노	jeno
Κωκυτός	코키토스	kʰokʰitʰosɯ
Ωνάσης	오나시스	onasisɯ
Σεπφώρα	세포라	sepʰola
ναυάγησε	나바이세	nabaise
Ζολώτας	졸로타스	t͡ɕollotʰasɯ
Μαρία	마리아	malia
Κηφισιά	키피시아	kʰipʰisia
δημοκρατία	디모크라티아	timokʰɯlatʰia
Ηράκλειο	이라클리오	ilakʰɯllio
Πειραιάς	피레아스	pʰileasɯ
Ιάσονας	이아소나스	iasonasɯ
Υάκινθος	이아킨토스	iakʰintʰosɯ
Ζαγοράκης	자고라키스	t͡ɕagolakʰisɯ
Βύρωνας	비로나스	pilonasɯ
Ισμήνη	이스미니	isɯmini
αύριο	아브리오	abɯlio
Μαΐου	마이우	maiu
υγειά	이야	ija
Ηλέκτρα	일렉트라	illektʰɯla
τέσσερα	테세라	tʰesela
Ευγενία	에브예니아	ebɯjenia
βιβλίο	비블리오	pibɯllio
διάλεκτος	디알렉토스	tiallektʰosɯ
Κύπρος	키프로스	kʰipʰɯlosɯ
Δημολέων	디몰레온	timolleon
Ιφιγένεια	이피예니아	ipʰijenia
Ματθαίος	마테오스	matʰeosɯ
Καλλιόπη	칼리오피	kʰalliopʰi
Χαλκίδα	할키다	halkʰida
Ηλιούπολη	일리우폴리	illiupʰolli
Νικόλαος	니콜라오스	nikʰollaosɯ
Νικάνωρ	니카노르	nikʰanolɯ
Δημήτρης	디미트리스	timitʰɯlisɯ
Ζαχαρίας	자하리아스	t͡ɕahaliasɯ
υπήρξεν	이피르크센	ipʰilɯkʰɯsen
ηυξημένου	이프크시메누	ipʰɯkʰɯsimenu
Κυργιάκος	키르야코스	kʰilɯjakʰosɯ
Καθαρεύουσα	카타레부사	kʰatʰalebusa
εκθαμνίσητε	엑탐니시테	ektʰamnisitʰe
Πόλυβος	폴리보스	pʰollibosɯ
Γεωργία	예오르이아	jeolɯia
Εύξεινος	에프크시노스	epʰɯkʰɯsinosɯ
Πετρούπολη	페트루폴리	pʰetʰɯlupʰolli
Ευαγγέλιον	에방겔리온	ebaŋgellion
Μιλτιάδης	밀티아디스	miltʰiadisɯ
Σωκράτης	소크라티스	sokʰɯlatʰisɯ
Λυκαβηττός	리카비토스	likʰabitʰosɯ
προστατεύω	프로스타테보	pʰɯlosɯtʰatʰebo
Μενέλαος	메넬라오스	menellaosɯ
Παγγαία	팡게아	pʰaŋgea
μαγειρειό	마이리오	mailio
Πελοπόννησος	펠로포니소스	pʰellopʰonisosɯ
Φίλιππος	필리포스	pʰillipʰosɯ
Νίκανδρος	니칸드로스	nikʰandɯlosɯ
στρατηγός	스트라티고스	sɯtʰɯlatʰigosɯ
Μίκης	미키스	mikʰisɯ
Μακεδονία	마케도니아	makʰedonia
Κάλυμνος	칼림노스	kʰallimnosɯ
Χάλκη	할키	halkʰi
Πισσαρίδης	피사리디스	pʰisalidisɯ
συμφωνώ	심포노	simpʰono
Σεφέρης	세페리스	sepʰelisɯ
Κλεοπάτρα	클레오파트라	kʰɯlleopʰatʰɯla
Χίος	히오스	hiosɯ
γυαλί	얄리	jalli
Καβάφη	카바피	kʰabapʰi
Αχαρνές	아하르네스	ahalɯnesɯ
Δημήτηρ	디미티르	timitʰilɯ
φτάνω	프타노	pʰɯtʰano
Βουλιαγμένη	불리아그메니	pulliagɯmeni
Βάρκιζα	바르키자	palɯkʰid͡ɕa
Νίκαια	니케아	nikʰea
Κεϋλάνη	케일라니	kʰeillani
Σάββατο	사바토	sabatʰo
Όλυμπος	올림보스	ollimbosɯ
Παναγιώτης	파나요티스	pʰanajotʰisɯ
Μεσογείων	메소이온	mesoion
υιός	이오스	iosɯ
γυναίκα	이네카	inekʰa
πέντε	펜데	pʰende
Χανιά	하니아	hania
Δυρράχιο	디라히오	tilahio
Πιερής	피에리스	pʰielisɯ
Κέρκυρα	케르키라	kʰelɯkʰila
Σάρα	사라	sala
Γρηγόρης	그리고리스	kɯligolisɯ
Αγαμέμνων	아가멤논	agamemnon
ηλεκτρονικά	일렉트로니카	illektʰɯlonikʰa
Δαίδαλος	데달로스	tedallosɯ
Ελένη	엘레니	elleni
Ευρώπη	에브로피	ebɯlopʰi
Πολυνείκης	폴리니키스	pʰollinikʰisɯ
Τρίκαλα	트리칼라	tʰɯlikʰalla
Αθανάσιος	아타나시오스	atʰanasiosɯ
Καλλιρρόη	칼리로이	kʰalliloi
κόσμος	코스모스	kʰosɯmosɯ
Μετέωρα	메테오라	metʰeola
Καβάλα	카발라	kʰaballa
Ελεύθερος	엘레프테로스	ellepʰɯtʰelosɯ
Αρκτικός	아르크티코스	alɯkʰɯtʰikʰosɯ
Δανιηλίδου	다니일리두	taniillidu
Ευκλείδης	에프클리디스	epʰɯkʰɯllidisɯ
Κρινώ	크리노	kʰɯlino
γκρίζος	그리조스	kɯlid͡ɕosɯ
βίντσι	빈치	pint͡ɕʰi
Ευλαλία	에블랄리아	ebɯllallia
Γεώργιος	예오르요스	jeolɯjosɯ
παπούτσια	파푸치아	pʰapʰut͡ɕʰia
αυτός	아프토스	apʰɯtʰosɯ
Ελύτης	엘리티스	ellitʰisɯ
χαϊδεύω	하이데보	haidebo
Λέσβος	레스보스	lesɯbosɯ
Ηρακλής	이라클리스	ilakʰɯllisɯ
Κοζάνη	코자니	kʰod͡ɕani
άρπυια	아르피아	alɯpʰia
αυθεντικός	아프텐디코스	apʰɯtʰendikʰosɯ
Πεύκη	페프키	pʰepʰɯkʰi
Λεωδάμας	레오다마스	leodamasɯ
Ιάκωβος	이아코보스	iakʰobosɯ
Κρήτη	크리티	kʰɯlitʰi
Ευριδίκη	에브리디키	ebɯlidikʰi
μωβ	모브	mobɯ
άγχος	앙호스	aŋhosɯ
Στρογγυλή	스트롱길리	sɯtʰɯloŋgilli
Σέρρες	세레스	selesɯ
Αλεξάνδρεια	알렉산드리아	alleks͈andɯlia
Ιωσήφ	이오시프	iosipʰɯ
Μελπομένη	멜포메니	melpʰomeni
σύγχρονος	싱흐로노스	siŋhɯlonosɯ
Συκιές	시키에스	sikʰiesɯ
Ευστάθιος	에프스타티오스	epʰɯsɯtʰatʰiosɯ
Ταλθύβιος	탈티비오스	tʰaltʰibiosɯ
πατριάς	파트리아스	pʰatʰɯliasɯ
Θεοφάνης	테오파니스	tʰeopʰanisɯ
ακαδημία	아카디미아	akʰadimia
κινηματογράφος	키니마토그라포스	kʰinimatʰogɯlapʰosɯ
Ζωγράφου	조그라푸	t͡ɕogɯlapʰu
άυλος	아일로스	aillosɯ
Αλεξανδρούπολη	알렉산드루폴리	alleks͈andɯlupʰolli
Σύνταγμα	신다그마	sindagɯma
Φοίβη	피비	pʰibi
ελεγκτής	엘렝티스	elleŋtʰisɯ
ρίχνω	리흐노	lihɯno
Πλάκα	플라카	pʰɯllakʰa
Ξανθίππη	크산티피	kʰɯsantʰipʰi
Κορυδαλλός	코리달로스	kʰolidallosɯ
Οδυσσέας	오디세아스	odiseasɯ
Παναθηναϊκός	파나티나이코스	pʰanatʰinaikʰosɯ
Συγγραφείς	싱그라피스	siŋgɯlapʰisɯ
γκαλερί	갈레리	kalleli
γάντζος	간조스	kand͡ɕosɯ
λεπτό	렙토	leptʰo
Τιμόθεος	티모테오스	tʰimotʰeosɯ
Αυξεντίου	아프크센디우	apʰɯkʰɯsendiu
δόγης	도이스	toisɯ
Λεύκτρα	레프크트라	lepʰɯkʰɯtʰɯla
Γιώργος	요르고스	jolɯgosɯ
Άγκυρα	앙기라	aŋgila
Λάιος	라이오스	laiosɯ
κανένα	카네나	kʰanena
Δέσποινα	데스피나	tesɯpʰina
Μαργαρίτα	마르가리타	malɯgalitʰa
μοιραία	미레아	milea
ψωμί	프소미	pʰɯsomi
μυρμήγκι	미르밍기	milɯmiŋgi
Ησαΐας	이사이아스	isaiasɯ
Ιωακείμ	이오아킴	ioakʰim
ξεϋφαίνω	크세이페노	kʰɯseipʰeno
Χαριστέας	하리스테아스	halisɯtʰeasɯ
Ειρήνη	이리니	ilini
μουσική	무시키	musikʰi
Θεσσαλονίκη	테살로니키	tʰesallonikʰi
Μαρούσι	마루시	malusi
Σταυρούπολη	스타브루폴리	sɯtʰabɯlupʰolli
γιατρός	야트로스	jatʰɯlosɯ
Αντώνης	안도니스	andonisɯ
Νέστωρ	네스토르	nesɯtʰolɯ
Άγγελος	앙겔로스	aŋgellosɯ
Ιερεμίας	이에레미아스	ielemiasɯ
ευφορία	에포리아	epʰolia
Εύβοια	에비아	ebia
δέντρο	덴드로	tendɯlo
Ελλάδα	엘라다	ellada
Καλλιθέα	칼리테아	kʰallitʰea
Ερμιόνη	에르미오니	elɯmioni
Παγδατής	파그다티스	pʰagɯdatʰisɯ
κοινή	키니	kʰini
Λαμία	라미아	lamia
Κάλχας	칼하스	kʰalhasɯ
Ανδρέας	안드레아스	andɯleasɯ
χρώματα	흐로마타	hɯlomatʰa
Θεσσαλία	테살리아	tʰesallia
Πέτρος	페트로스	pʰetʰɯlosɯ
Ελευσίνα	엘레프시나	ellepʰɯsina
Μούσχουρη	무스후리	musɯhuli
Στέφανος	스테파노스	sɯtʰepʰanosɯ
Παπαδόπουλος	파파도풀로스	pʰapʰadopʰullosɯ
Λειψοί	립시	lips͈i
πηγή	피이	pʰii
ευχαριστώ	에프하리스토	epʰɯhalisɯtʰo
Κατσουράνης	카추라니스	kʰat͡ɕʰulanisɯ
Αργυρούπολη	아르이루폴리	alɯilupʰolli
Πρίαμος	프리아모스	pʰɯliamosɯ
Αλέξης	알렉시스	alleks͈isɯ
Σπυρίδων	스피리돈	sɯpʰilidon
Κερατσίνι	케라치니	kʰelat͡ɕʰini
Νάρκισσος	나르키소스	nalɯkʰisosɯ
εκφράσω	엑프라소	ekpʰɯlaso
Τζόρβας	조르바스	t͡ɕolɯbasɯ
Υπατία	이파티아	ipʰatʰia
Κασσάνδρα	카산드라	kʰasandɯla
Βασίλης	바실리스	pasillisɯ
Σελήνη	셀리니	sellini
Ταΰγετος	타이예토스	tʰaijetʰosɯ
Μπενάκη	베나키	penakʰi
Γαλάτσι	갈라치	kallat͡ɕʰi
Στυλιανός	스틸리아노스	sɯtʰillianosɯ
Κόων	코온	kʰoon
Πάτρα	파트라	pʰatʰɯla
Γαύδος	가브도스	kabɯdosɯ
Αιγάλεω	에갈레오	egalleo
απηύδησα	아피브디사	apʰibɯdisa
Διογένης	디오예니스	tiojenisɯ
Λουκά	루카	lukʰa
έυπνον	에이프논	eipʰɯnon
Λεωνίδας	레오니다스	leonidasɯ
Δράμα	드라마	tɯlama
Θήβα	티바	tʰiba
Πηνελόπη	피넬로피	pʰinellopʰi
Πελασγία	펠라스이아	pʰellasɯia
μπωλ	볼	pol
χέρι	헤리	heli
Χαλάνδρι	할란드리	hallandɯli
Αρμονία	아르모니아	alɯmonia
αισθάνομαι	에스타노메	esɯtʰanome
Ζωή	조이	t͡ɕoi
Καλαμαριά	칼라마리아	kʰallamalia
μουσακάς	무사카스	musakʰasɯ
Ιάνθη	이안티	iantʰi
Γλυφάδα	글리파다	kɯllipʰada
Δανάη	다나이	tanai
παύω	파보	pʰabo
επηυξημένος	에피프크시메노스	epʰipʰɯkʰɯsimenosɯ
Γιάννης	야니스	janisɯ
Θεόφιλος	테오필로스	tʰeopʰillosɯ
έκκλησιν	에클리신	ekʰɯllisin
βασιλιάς	바실리아스	pasilliasɯ
Ιαλυσός	이알리소스	iallisosɯ
μαύρος	마브로스	mabɯlosɯ
ταυ	타프	tʰapʰɯ
Δάφνη	다프니	tapʰɯni
