Κυβέλη	키벨레	kʰibelle
Ξενοφῶν	크세노폰	kʰɯsenopʰon
Ἕκτωρ	헥토르	hektʰolɯ
Ῥόδος	로도스	lodosɯ
Δῆλος	델로스	tellosɯ
Εὐρώπη	에우로페	eulopʰe
Ἱσπανία	히스파니아	hisɯpʰania
Πάν	판	pʰan
Ἀρχιμήδης	아르키메데스	alɯkʰimedesɯ
Πύθων	피톤	pʰitʰon
Ἀγαμέμνων	아가멤논	agamemnon
Ἁλικαρνασσός	할리카르나소스	hallikʰalɯnasosɯ
Ἑλένη	헬레네	hellene
Εὐκτήμων	에욱테몬	euktʰemon
Εὐριπίδης	에우리피데스	eulipʰidesɯ
Θεμιστοκλῆς	테미스토클레스	tʰemisɯtʰokʰɯllesɯ
Ὀρφεύς	오르페우스	olɯpʰeusɯ
Ἰθάκη	이타케	itʰakʰe
Μνήμη	므네메	mɯneme
Ἀμαζών	아마존	amad͡ɕon
Σεμέλη	세멜레	semelle
Ἀντίγονος	안티고노스	antʰigonosɯ
Ἱπποκράτης	히포크라테스	hipʰokʰɯlatʰesɯ
Ἰλιάς	일리아스	illiasɯ
Σιληνός	실레노스	sillenosɯ
Ἀλεξάνδρεια	알렉산드레이아	alleks͈andɯleia
ᾍδης	하데스	hadesɯ
Ἀναξανδρίδας	아낙산드리다스	anaks͈andɯlidasɯ
Ἔρις	에리스	elisɯ
Ἥφαιστος	헤파이스토스	hepʰaisɯtʰosɯ
Πλάτων	플라톤	pʰɯllatʰon
Πτολεμαῖος	프톨레마이오스	pʰɯtʰollemaiosɯ
Ὄλυμπος	올림포스	ollimpʰosɯ
Νεμέα	네메아	nemea
Δημόκριτος	데모크리토스	temokʰɯlitʰosɯ
Οἰδίπους	오이디푸스	oidipʰusɯ
Τροία	트로이아	tʰɯloia
Θαλῆς	탈레스	tʰallesɯ
Ίαπετός	이아페토스	iapʰetʰosɯ
Ἐλεφαντίνη	엘레판티네	ellepʰantʰine
Ἀχιλλεύς	아킬레우스	akʰilleusɯ
Ἥβη	헤베	hebe
Σωκράτης	소크라테스	sokʰɯlatʰesɯ
Ἀμφίπολις	암피폴리스	ampʰipʰollisɯ
Λεωνίδας	레오니다스	leonidasɯ
Ῥοδόπη	로도페	lodopʰe
Ὠρίων	오리온	olion
Ἵππαρχος	히파르코스	hipʰalɯkʰosɯ
Ἄδωνις	아도니스	adonisɯ
Πολύβιος	폴리비오스	pʰollibiosɯ
Ζάκυνθος	자킨토스	t͡ɕakʰintʰosɯ
Ῥέα	레아	lea
Πυθία	피티아	pʰitʰia
Ὕδρα	히드라	hidɯla
Δελφοί	델포이	telpʰoi
Σαπφώ	사포	sapʰo
Αἴολος	아이올로스	aiollosɯ
Τῆλος	텔로스	tʰellosɯ
Ἀλέξανδρος	알렉산드로스	alleks͈andɯlosɯ
Χάος	카오스	kʰaosɯ
Ἀθηνᾶ	아테나	atʰena
Πίνδαρος	핀다로스	pʰindalosɯ
Ἑρμής	헤르메스	helɯmesɯ
Περσεφόνη	페르세포네	pʰelɯsepʰone
Ἔρως	에로스	elosɯ
Αἴσωπος	아이소포스	aisopʰosɯ
Δημήτηρ	데메테르	temetʰelɯ
Ἀριάδνη	아리아드네	aliadɯne
Σαμοθρᾴκη	사모트라케	samotʰɯlakʰe
Ἰωνία	이오니아	ionia
Δάφνη	다프네	tapʰɯne
Προμηθεύς	프로메테우스	pʰɯlometʰeusɯ
Κλεομένης	클레오메네스	kʰɯlleomenesɯ
Σίσυφος	시시포스	sisipʰosɯ
Ζεύς	제우스	t͡ɕeusɯ
